"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: dataMid ... .params;CreateBase.js:37[22:53];Sink: dados;CreateBase.js:97[29:33]::FLOW_DESCR_END
FLOW_DESCR_START::Source: dataMid ... .params;CreateBase.js:37[22:53];Sink: htmlPage;CreateBase.js:116[41:48]::FLOW_DESCR_END","/CreateBase.js","37","22","37","53"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: fs.read ... ""utf8"");CreateBase.js:108[16:65];Sink: htmlPage;CreateBase.js:116[41:48]::FLOW_DESCR_END","/CreateBase.js","108","16","108","65"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;openProtocol.js:76[27:29];Sink: `${RED. ...      }`;openProtocol.js:125[9:10]::FLOW_DESCR_END","/red/openProtocol.js","76","27","76","29"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data;openProtocol.js:86[39:42];Sink: data.key;openProtocol.js:159[17:24]::FLOW_DESCR_END
FLOW_DESCR_START::Source: data;openProtocol.js:86[39:42];Sink: data.data;openProtocol.js:159[27:35]::FLOW_DESCR_END","/red/openProtocol.js","86","39","86","42"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data;openProtocol.js:88[29:32];Sink: data;openProtocol.js:151[28:31]::FLOW_DESCR_END","/red/openProtocol.js","88","29","88","32"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data;openProtocol.js:89[26:29];Sink: data;openProtocol.js:155[25:28]::FLOW_DESCR_END","/red/openProtocol.js","89","26","89","29"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: error.port;openProtocol.js:125[78:87];Sink: `${RED. ...      }`;openProtocol.js:125[9:10]::FLOW_DESCR_END","/red/openProtocol.js","125","78","125","87"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: [msg, null];openProtocol.js:299[23:33]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: msg;openProtocol.js:302[83:85]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: msg;openProtocol.js:356[25:27]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: msg;openProtocol.js:361[27:29]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: msg;openProtocol.js:363[86:88]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: [msg, null];openProtocol.js:375[27:37]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: [msg, null];openProtocol.js:387[29:39]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: msg;openProtocol.js:389[92:94]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: [msg, null];openProtocol.js:400[25:35]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: [msg, null];openProtocol.js:413[27:37]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: msg;openProtocol.js:416[88:90]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: msg;openProtocol.js:427[25:27]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: msg;openProtocol.js:432[27:29]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;openProtocol.js:288[22:24];Sink: msg;openProtocol.js:434[86:88]::FLOW_DESCR_END","/red/openProtocol.js","288","22","288","24"
