"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;nbr-del-variable.js:14[35:37];Sink: msg;nbr-del-variable.js:39[16:18]::FLOW_DESCR_END","/nbr-del-variable.js","14","35","14","37"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data;nbr-del-variable.js:35[39:42];Sink: new Err ... ayload);nbr-del-variable.js:43[20:41]::FLOW_DESCR_END","/nbr-del-variable.js","35","39","35","42"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;nbr-del-variable.js:48[28:30];Sink: err;nbr-del-variable.js:49[39:41]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;nbr-del-variable.js:48[28:30];Sink: new Error(err);nbr-del-variable.js:51[16:29]::FLOW_DESCR_END","/nbr-del-variable.js","48","28","48","30"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;nbr-get-variable.js:14[35:37];Sink: msg;nbr-get-variable.js:39[16:18]::FLOW_DESCR_END","/nbr-get-variable.js","14","35","14","37"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data;nbr-get-variable.js:35[39:42];Sink: new Err ... ayload);nbr-get-variable.js:43[20:41]::FLOW_DESCR_END","/nbr-get-variable.js","35","39","35","42"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;nbr-get-variable.js:48[28:30];Sink: err;nbr-get-variable.js:49[39:41]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;nbr-get-variable.js:48[28:30];Sink: new Error(err);nbr-get-variable.js:51[16:29]::FLOW_DESCR_END","/nbr-get-variable.js","48","28","48","30"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;nbr-set-variable.js:15[35:37];Sink: msg;nbr-set-variable.js:42[16:18]::FLOW_DESCR_END","/nbr-set-variable.js","15","35","15","37"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data;nbr-set-variable.js:38[39:42];Sink: new Err ... ayload);nbr-set-variable.js:46[20:41]::FLOW_DESCR_END","/nbr-set-variable.js","38","39","38","42"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;nbr-set-variable.js:51[28:30];Sink: err;nbr-set-variable.js:52[39:41]::FLOW_DESCR_END
FLOW_DESCR_START::Source: err;nbr-set-variable.js:51[28:30];Sink: new Error(err);nbr-set-variable.js:54[16:29]::FLOW_DESCR_END","/nbr-set-variable.js","51","28","51","30"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;nbr-write-ds-text-file.js:20[35:37];Sink: msg;nbr-write-ds-text-file.js:53[16:18]::FLOW_DESCR_END","/nbr-write-ds-text-file.js","20","35","20","37"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: data;nbr-write-ds-text-file.js:49[39:42];Sink: new Err ... ayload);nbr-write-ds-text-file.js:57[20:41]::FLOW_DESCR_END","/nbr-write-ds-text-file.js","49","39","49","42"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;nbr-write-ds-text-file.js:62[28:30];Sink: new Error(err);nbr-write-ds-text-file.js:67[17:30]::FLOW_DESCR_END","/nbr-write-ds-text-file.js","62","28","62","30"
