"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: e;connection_pool.js:110[34:34];Sink: `[mcpro ... : ${e}`;connection_pool.js:112[22:55]::FLOW_DESCR_END","/connection_pool.js","110","34","110","34"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: cParam.host;mcprotocol.js:151[23:33];Sink: '[' + s ... at(txt);mcprotocol.js:1930[50:91]::FLOW_DESCR_END","/mcprotocol/mcprotocol.js","151","23","151","33"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: cParam.host;mcprotocol.js:390[42:52];Sink: '[' + s ... at(txt);mcprotocol.js:1930[50:91]::FLOW_DESCR_END","/mcprotocol/mcprotocol.js","390","42","390","52"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: cParam.port;mcprotocol.js:390[70:80];Sink: '[' + s ... at(txt);mcprotocol.js:1930[50:91]::FLOW_DESCR_END","/mcprotocol/mcprotocol.js","390","70","390","80"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: returnedBfr.length;mcprotocol.js:1368[119:136];Sink: '[' + s ... at(txt);mcprotocol.js:1930[50:91]::FLOW_DESCR_END","/mcprotocol/mcprotocol.js","1368","119","1368","136"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: item.bu ... .length;mcprotocol.js:1460[120:142];Sink: '[' + s ... at(txt);mcprotocol.js:1930[50:91]::FLOW_DESCR_END","/mcprotocol/mcprotocol.js","1460","120","1460","142"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: this.co ... ig.port;read.js:52[9:34];Sink: `[mcpro ...  ${id}`;connection_pool.js:49[18:69]::FLOW_DESCR_END
FLOW_DESCR_START::Source: this.co ... ig.port;read.js:52[9:34];Sink: `[mcpro ...  ${id}`;connection_pool.js:101[24:64]::FLOW_DESCR_END
FLOW_DESCR_START::Source: this.co ... ig.port;read.js:52[9:34];Sink: `[mcpro ...  ${id}`;connection_pool.js:104[24:75]::FLOW_DESCR_END
FLOW_DESCR_START::Source: this.co ... ig.port;read.js:52[9:34];Sink: `[mcpro ... : ${e}`;connection_pool.js:112[22:55]::FLOW_DESCR_END
FLOW_DESCR_START::Source: this.co ... ig.port;read.js:52[9:34];Sink: `[mcpro ...  ${id}`;connection_pool.js:118[21:79]::FLOW_DESCR_END
FLOW_DESCR_START::Source: this.co ... ig.port;read.js:52[9:34];Sink: `[mcpro ...  ${id}`;connection_pool.js:128[22:53]::FLOW_DESCR_END
FLOW_DESCR_START::Source: this.co ... ig.port;read.js:52[9:34];Sink: `[mcpro ...  ${id}`;connection_pool.js:133[20:59]::FLOW_DESCR_END
FLOW_DESCR_START::Source: this.co ... ig.port;read.js:52[9:34];Sink: `[mcpro ...  ${id}`;connection_pool.js:139[19:76]::FLOW_DESCR_END
FLOW_DESCR_START::Source: this.co ... ig.port;read.js:52[9:34];Sink: cParam.port;mcprotocol.js:381[51:61]::FLOW_DESCR_END
FLOW_DESCR_START::Source: this.co ... ig.port;read.js:52[9:34];Sink: '[' + s ... at(txt);mcprotocol.js:1930[50:91]::FLOW_DESCR_END","/nodes/read.js","52","9","52","34"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: this.co ... ig.host;read.js:53[9:34];Sink: `[mcpro ...  ${id}`;connection_pool.js:49[18:69]::FLOW_DESCR_END
