"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: request;aedes.js:42[33:39];Sink: request;aedes.js:46[65:71]::FLOW_DESCR_END","/aedes.js","42","33","42","39"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;aedes_last_will_spec.js:59[37:39];Sink: err.toString();aedes_last_will_spec.js:60[34:47]::FLOW_DESCR_END","/test/aedes_last_will_spec.js","59","37","59","39"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;aedes_qos_spec.js:56[37:39];Sink: err.toString();aedes_qos_spec.js:57[34:47]::FLOW_DESCR_END","/test/aedes_qos_spec.js","56","37","56","39"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;aedes_qos_spec.js:63[37:39];Sink: err.toString();aedes_qos_spec.js:64[34:47]::FLOW_DESCR_END","/test/aedes_qos_spec.js","63","37","63","39"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;aedes_qos_spec.js:122[37:39];Sink: err.toString();aedes_qos_spec.js:123[34:47]::FLOW_DESCR_END","/test/aedes_qos_spec.js","122","37","122","39"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;aedes_qos_spec.js:129[37:39];Sink: err.toString();aedes_qos_spec.js:130[34:47]::FLOW_DESCR_END","/test/aedes_qos_spec.js","129","37","129","39"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;aedes_retain_spec.js:57[37:39];Sink: err.toString();aedes_retain_spec.js:58[34:47]::FLOW_DESCR_END","/test/aedes_retain_spec.js","57","37","57","39"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;aedes_retain_spec.js:60[37:39];Sink: err.toString();aedes_retain_spec.js:61[34:47]::FLOW_DESCR_END","/test/aedes_retain_spec.js","60","37","60","39"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;aedes_retain_spec.js:121[37:39];Sink: err.toString();aedes_retain_spec.js:122[34:47]::FLOW_DESCR_END","/test/aedes_retain_spec.js","121","37","121","39"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;aedes_retain_spec.js:124[37:39];Sink: err.toString();aedes_retain_spec.js:125[34:47]::FLOW_DESCR_END","/test/aedes_retain_spec.js","124","37","124","39"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;aedes_spec.js:338[36:38];Sink: err.toString();aedes_spec.js:339[34:47]::FLOW_DESCR_END","/test/aedes_spec.js","338","36","338","38"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;aedes_spec.js:391[36:38];Sink: err.toString();aedes_spec.js:392[34:47]::FLOW_DESCR_END","/test/aedes_spec.js","391","36","391","38"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;aedes_ws_spec.js:91[36:38];Sink: err.toString();aedes_ws_spec.js:92[34:47]::FLOW_DESCR_END","/test/aedes_ws_spec.js","91","36","91","38"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;aedes_ws_spec.js:154[36:38];Sink: err.toString();aedes_ws_spec.js:155[44:57]::FLOW_DESCR_END","/test/aedes_ws_spec.js","154","36","154","38"
