"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: config.port;alexa-adapter.js:144[30:40];Sink: (new Da ... ' + msg;alexa-adapter.js:227[25:125]::FLOW_DESCR_END
FLOW_DESCR_START::Source: config.port;alexa-adapter.js:144[30:40];Sink: 'AlexaA ... ' + msg;alexa-adapter.js:228[24:48]::FLOW_DESCR_END","/alexa/alexa-adapter.js","144","30","144","40"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: node.ht ... ().port;alexa-adapter.js:319[30:60];Sink: (new Da ... ' + msg;alexa-adapter.js:227[25:125]::FLOW_DESCR_END
FLOW_DESCR_START::Source: node.ht ... ().port;alexa-adapter.js:319[30:60];Sink: 'AlexaA ... ' + msg;alexa-adapter.js:228[24:48]::FLOW_DESCR_END","/alexa/alexa-adapter.js","319","30","319","60"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;alexa-adapter.js:323[52:54];Sink: `${prot ... ` + err;alexa-adapter.js:325[28:58]::FLOW_DESCR_END","/alexa/alexa-adapter.js","323","52","323","54"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: req.body.username;alexa-adapter.js:603[30:46];Sink: 'oauth_ ... sername;alexa-adapter.js:610[42:74]::FLOW_DESCR_END
FLOW_DESCR_START::Source: req.body.username;alexa-adapter.js:603[30:46];Sink: 'oauth_ ... sername;alexa-adapter.js:638[32:85]::FLOW_DESCR_END","/alexa/alexa-adapter.js","603","30","603","46"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: req.body.password;alexa-adapter.js:604[30:46];Sink: 'oauth_ ... assword;alexa-adapter.js:642[32:85]::FLOW_DESCR_END","/alexa/alexa-adapter.js","604","30","604","46"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: node.cr ... sername;alexa-adapter.js:639[71:95];Sink: 'oauth_ ... sername;alexa-adapter.js:639[32:95]::FLOW_DESCR_END","/alexa/alexa-adapter.js","639","71","639","95"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: node.cr ... assword;alexa-adapter.js:643[71:95];Sink: 'oauth_ ... /g, """");alexa-adapter.js:643[32:114]::FLOW_DESCR_END","/alexa/alexa-adapter.js","643","71","643","95"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: node.cr ... ient_id;alexa-adapter.js:1093[58:87];Sink: data.re ... essage);alexa-adapter.js:1093[31:69]::FLOW_DESCR_END","/alexa/alexa-adapter.js","1093","58","1093","87"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: pres.email;alexa-adapter.js:1287[67:76];Sink: (new Da ... ' + msg;alexa-adapter.js:227[25:125]::FLOW_DESCR_END
FLOW_DESCR_START::Source: pres.email;alexa-adapter.js:1287[67:76];Sink: 'AlexaA ... ' + msg;alexa-adapter.js:228[24:48]::FLOW_DESCR_END","/alexa/alexa-adapter.js","1287","67","1287","76"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: pres.email;alexa-adapter.js:1288[62:71];Sink: ""Userna ... orized"";alexa-adapter.js:1288[48:91]::FLOW_DESCR_END","/alexa/alexa-adapter.js","1288","62","1288","71"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: node.cr ... ient_id;alexa-adapter.js:2228[62:93];Sink: 'Basic  ... ase64"");alexa-adapter.js:2234[55:121]::FLOW_DESCR_END","/alexa/alexa-adapter.js","2228","62","2228","93"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: node.cr ... ient_id;alexa-adapter.js:2228[97:126];Sink: 'Basic  ... ase64"");alexa-adapter.js:2234[55:121]::FLOW_DESCR_END","/alexa/alexa-adapter.js","2228","97","2228","126"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: node.cr ... _secret;alexa-adapter.js:2229[59:87];Sink: 'Basic  ... ase64"");alexa-adapter.js:2234[55:121]::FLOW_DESCR_END","/alexa/alexa-adapter.js","2229","59","2229","87"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: node.cr ... _secret;alexa-adapter.js:2229[91:117];Sink: 'Basic  ... ase64"");alexa-adapter.js:2234[55:121]::FLOW_DESCR_END","/alexa/alexa-adapter.js","2229","91","2229","117"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: fs.read ...      });alexa-adapter.js:2289[36:26];Sink: (new Da ... ' + msg;alexa-adapter.js:227[25:125]::FLOW_DESCR_END
FLOW_DESCR_START::Source: fs.read ...      });alexa-adapter.js:2289[36:26];Sink: 'AlexaA ... ' + msg;alexa-adapter.js:228[24:48]::FLOW_DESCR_END","/alexa/alexa-adapter.js","2289","36","2294","26"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;alexa-device.js:181[40:42];Sink: (new Da ... ' + msg;alexa-device.js:205[25:124]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;alexa-device.js:181[40:42];Sink: 'AlexaD ... ' + msg;alexa-device.js:206[24:47]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;alexa-device.js:181[40:42];Sink: msg;alexa-device.js:398[31:33]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;alexa-device.js:181[40:42];Sink: ""execDi ... mespace;alexa-device.js:2299[32:90]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;alexa-device.js:181[40:42];Sink: 'More t ... ] + '""';alexa-device.js:2702[47:122]::FLOW_DESCR_END","/alexa/alexa-device.js","181","40","181","42"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;alexa-management.js:49[40:42];Sink: (new Da ... ' + msg;alexa-management.js:75[25:128]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;alexa-management.js:49[40:42];Sink: 'AlexaM ... ' + msg;alexa-management.js:76[24:51]::FLOW_DESCR_END","/alexa/alexa-management.js","49","40","49","42"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: removed;alexa-management.js:53[40:46];Sink: (new Da ... ' + msg;alexa-management.js:75[25:128]::FLOW_DESCR_END
FLOW_DESCR_START::Source: removed;alexa-management.js:53[40:46];Sink: 'AlexaM ... ' + msg;alexa-management.js:76[24:51]::FLOW_DESCR_END","/alexa/alexa-management.js","53","40","53","46"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: chunk;index.js:65[22:26];Sink: ""rawDat ... rawData;index.js:73[30:50]::FLOW_DESCR_END","/docs/index.js","65","22","65","26"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;index.js:79[21:23];Sink: ""reject: "" + err;index.js:80[26:41]::FLOW_DESCR_END","/docs/index.js","79","21","79","23"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: chunk;index.js:74[22:26];Sink: ""rawDat ... rawData;index.js:82[30:50]::FLOW_DESCR_END","/lambda/index.js","74","22","74","26"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: err;index.js:88[21:23];Sink: ""reject: "" + err;index.js:89[26:41]::FLOW_DESCR_END","/lambda/index.js","88","21","88","23"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: res;alexa-device_spec.js:147[31:33];Sink: ""-> "" + ... er[key];alexa-device_spec.js:150[27:63]::FLOW_DESCR_END
FLOW_DESCR_START::Source: res;alexa-device_spec.js:147[31:33];Sink: ""Locati ... ocation;alexa-device_spec.js:156[25:53]::FLOW_DESCR_END","/test/alexa-device_spec.js","147","31","147","33"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: res.hea ... ation'];alexa-device_spec.js:152[37:58];Sink: ""Locati ... ocation;alexa-device_spec.js:156[25:53]::FLOW_DESCR_END","/test/alexa-device_spec.js","152","37","152","58"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: res;alexa-device_spec.js:209[31:33];Sink: ""-> "" + ... er[key];alexa-device_spec.js:212[27:63]::FLOW_DESCR_END
