"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: response;auth.js:37[93:100];Sink: response;auth.js:42[32:39]::FLOW_DESCR_END","/lib/auth.js","37","93","37","100"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: body;auth.js:37[103:106];Sink: ""Error: "" + body;auth.js:39[35:50]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;auth.js:37[103:106];Sink: body;auth.js:42[42:45]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;auth.js:37[103:106];Sink: respons ... token'];auth.js:46[39:62]::FLOW_DESCR_END
FLOW_DESCR_START::Source: body;auth.js:37[103:106];Sink: ""Authen ... token'];auth.js:47[33:76]::FLOW_DESCR_END","/lib/auth.js","37","103","37","106"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;LatestValueNode.js:11[36:38];Sink: node.msg;utils.js:15[59:66]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;LatestValueNode.js:11[36:38];Sink: node.msg;LatestValueNode.js:41[45:52]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;LatestValueNode.js:11[36:38];Sink: node.msg;LatestValueNode.js:48[34:41]::FLOW_DESCR_END","/nodes/LatestValueNode.js","11","36","11","38"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: error;LatestValueNode.js:28[36:40];Sink: error;LatestValueNode.js:31[28:32]::FLOW_DESCR_END","/nodes/LatestValueNode.js","28","36","28","40"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: resp;LatestValueNode.js:28[43:46];Sink: resp;LatestValueNode.js:48[28:31]::FLOW_DESCR_END","/nodes/LatestValueNode.js","28","43","28","46"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: body;LatestValueNode.js:28[49:52];Sink: body;LatestValueNode.js:47[31:34]::FLOW_DESCR_END","/nodes/LatestValueNode.js","28","49","28","52"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;ListResourcesNode.js:11[36:38];Sink: node.msg;utils.js:15[59:66]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;ListResourcesNode.js:11[36:38];Sink: node.msg;ListResourcesNode.js:41[45:52]::FLOW_DESCR_END
FLOW_DESCR_START::Source: msg;ListResourcesNode.js:11[36:38];Sink: node.msg;ListResourcesNode.js:48[34:41]::FLOW_DESCR_END","/nodes/ListResourcesNode.js","11","36","11","38"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: error;ListResourcesNode.js:28[36:40];Sink: error;ListResourcesNode.js:31[28:32]::FLOW_DESCR_END","/nodes/ListResourcesNode.js","28","36","28","40"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: resp;ListResourcesNode.js:28[43:46];Sink: resp;ListResourcesNode.js:48[28:31]::FLOW_DESCR_END","/nodes/ListResourcesNode.js","28","43","28","46"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: body;ListResourcesNode.js:28[49:52];Sink: body;ListResourcesNode.js:47[31:34]::FLOW_DESCR_END","/nodes/ListResourcesNode.js","28","49","28","52"
"Taint analysis NodeRED",,"warning","FLOW_DESCR_START::Source: msg;PushValueNode.js:11[36:38];Sink: node.msg;utils.js:15[59:66]::FLOW_DESCR_END
